,url,ean,cat1,cat2,cat3,desc,preco,imagem
3293,https://www.superabc.com.br/achoc-po-geneo-s-amalia-sache-300g/p,7896021315406,Mercearia,Matinais,Achocolatados,ACHOCOLATADO EM PÓ GENEO SANTA AMÁLIA SACHE 300G - UNIDADE,3.99,https://abcemcasa.vteximg.com.br/arquivos/ids/249260-1000-1000/7896021315406.jpg?v=637002213390700000
3294,https://www.superabc.com.br/7896005805718-capsula-tres-cafe-espresso-atento-c-10/p,7896005805718,Mercearia,Matinais,Cafés,CÁPSULA TRÊS CAFÉ EXPRESSO ATENTO COM 10 - UNIDADE,15.9,https://abcemcasa.vteximg.com.br/arquivos/ids/253010-1000-1000/Principal.jpg?v=637002250110530000
3295,https://www.superabc.com.br/7896005805473-cafe-c-leite-3-coracoes-s-ac-265g/p,7896005805473,Mercearia,Matinais,Cafés,CAFÉ COM LEITE 3 CORAÇÕES SEM  AÇÚCAR 265G - UNIDADE,16.9,https://abcemcasa.vteximg.com.br/arquivos/ids/252625-1000-1000/7896005805473.jpg?v=637002248516300000
3296,https://www.superabc.com.br/7896005805121-capsula-tres-cafe-leite-c-10/p,7896005805121,Mercearia,Matinais,Cafés,CÁPSULA TRÊS CAFÉ/LEITE COM 10 - UNIDADE,15.9,https://abcemcasa.vteximg.com.br/arquivos/ids/253014-1000-1000/Principal.jpg?v=637002250129930000
3297,https://www.superabc.com.br/7896005805138-capsula-tres-chocolatto-c-10/p,7896005805138,Mercearia,Matinais,Cafés,CÁPSULA TRÊS CHOCOLATTO COM 10 - UNIDADE,15.9,https://abcemcasa.vteximg.com.br/arquivos/ids/253023-1000-1000/Principal.jpg?v=637002250176430000
3298,https://www.superabc.com.br/7896005805695-capsula-tres-cha-hortela-c-10/p,7896005805695,Mercearia,Matinais,Cafés,CÁPSULA TRÊS CHÁ HORTELÃ COM 10 - UNIDADE,15.9,https://abcemcasa.vteximg.com.br/arquivos/ids/253018-1000-1000/Principal.jpg?v=637002250149370000
3299,https://www.superabc.com.br/7896005805107-capsula-tres-cafe-coado-clas-c-10/p,7896005805107,Mercearia,Matinais,Cafés,CÁPSULA TRÊS CAFÉ COADO CLÁSSICO COM 10 - UNIDADE,15.9,https://abcemcasa.vteximg.com.br/arquivos/ids/253006-1000-1000/Principal.jpg?v=637002250090500000
3300,https://www.superabc.com.br/7896005805008-capsula-tres-cafe-espresso-supremo-c-10/p,7896005805008,Mercearia,Matinais,Cafés,CÁPSULA TRÊS CAFÉ EXPRESSO SUPREMO COM 10 - UNIDADE,15.9,https://abcemcasa.vteximg.com.br/arquivos/ids/253011-1000-1000/Principal.jpg?v=637002250115870000
3301,https://www.superabc.com.br/7896005805077-capsula-tres-cappuc-clas-c-10/p,7896005805077,Mercearia,Matinais,Cafés,CÁPSULA TRÊS CAPPUCCINO CLÁSSICO COM 10 - UNIDADE,15.9,https://abcemcasa.vteximg.com.br/arquivos/ids/253015-1000-1000/Principal.jpg?v=637002250137130000
3302,https://www.superabc.com.br/7896005804391-achoc-po-achocolatto-300g/p,7896005804391,Mercearia,Matinais,Achocolatados,ACHOCOLATADO PÓ CHOCOLATTO 300G - UNIDADE,4.69,https://abcemcasa.vteximg.com.br/arquivos/ids/249295-1000-1000/Achocolatado-em-Po-Chocolatto-3-Coracoes-Pacote-300g.jpg?v=637002213572330000
3303,https://www.superabc.com.br/7896005805015-capsula-tres-cafe-espresso-vibrante-c-10/p,7896005805015,Mercearia,Matinais,Cafés,CÁPSULA TRÊS CAFÉ EXPRESSO VIBRANTE COM 10 - UNIDADE,15.9,https://abcemcasa.vteximg.com.br/arquivos/ids/253012-1000-1000/Principal.jpg?v=637002250120700000
3304,https://www.superabc.com.br/7896005802892cappuc-3-coracoes-choc-200g/p,7896005802892,Mercearia,Matinais,Cafés,CAPPUCINO 3 CORACOES CHOCOLATE 200G - UNIDADE,9.49,https://abcemcasa.vteximg.com.br/arquivos/ids/252972-1000-1000/Principal.jpg?v=637002249956700000
