link,ean,catI,catII,catIII,descricao,preco,imagem_link
https://www.superabc.com.br/7896067200551bateria-panasonic-p-alarme-12-v-6rv081b/p,7896067200551,Bazar,Casa e Construção,Acendimentos,BATERIA PANASONIC P ALARME 12 V 6RV081B - UNIDADE,11.9,https://abcemcasa.vteximg.com.br/arquivos/ids/250944-1000-1000/7896067200551.jpg?v=637002223114730000
https://www.superabc.com.br/7891010966225-neutrogena-norwegian-c--frag-200ml/p,7891010966225,Higiene e Beleza,Higiene Pessoal,Produtos para Pele,NEUTROGENA NORWEGIAN COM  FRAG 200ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/263051-1000-1000/7891010966225.jpg?v=637002336606830000
https://www.superabc.com.br/7891361717804ap-jantar-oxford-cena-ingleza-20pcs/p,7891361717804,Bazar,Casa e Cozinha,Utensílios,AP JANTAR OXFORD CENA INGLEZA 20PCS - UNIDADE,199.9,https://abcemcasa.vteximg.com.br/arquivos/ids/265893-1000-1000/7891361717804.jpg?v=637002780665400000
https://www.superabc.com.br/7897807415013-saboneteira-arthi-flex/p,7897807415013,Bazar,Casa e Cozinha,Utilidades,SABONETEIRA ARTHI FLEX - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/239222-1000-1000/7897807415013.jpg?v=636935436918800000
https://www.superabc.com.br/7891114063462-chave-tramontina-10x11mm/p,7891114063462,Bazar,Casa e Construção,Ferragens,CHAVE TRAMONTINA 10X11MM - UNIDADE,6.69,https://abcemcasa.vteximg.com.br/arquivos/ids/253499-1000-1000/7891114063462.jpg?v=637002252081370000
https://www.superabc.com.br/hid-softlotion-johnson-lav-l400-p320ml/p,7891010931551,Higiene e Beleza,Higiene Pessoal,Produtos para Pele,HIDRATANTE SOFTLOTION JOHNSON LAV L400 P320ML,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/258526-1000-1000/7891010931551.jpg?v=637002304281830000
https://www.superabc.com.br/7891361710867-xic-cha-oxford-empilhavel-c-pires-220ml/p,7891361710867,Bazar,Casa e Cozinha,Cerâmica,XÍCARA PARA CHÁ OXFORD EMPILHAVEL COM PIRES 220ML - UNIDADE,17.99,https://abcemcasa.vteximg.com.br/arquivos/ids/239519-1000-1000/7891361710867.jpg?v=636935438270930000
https://www.superabc.com.br/7897807411916-porta-deterg-bucha-sabao-arthi-un/p,7897807411916,Bazar,Casa e Cozinha,Utilidades,PORTA DETERGENTE/BUCHA/SABÃO ARTHI - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/265061-1000-1000/7897807411916.jpg?v=637002351843870000
https://www.superabc.com.br/7891114051964kit-fenda-tramontina-ponteira/p,7891114051964,Bazar,Casa e Construção,Ferragens,KIT FENDA TRAMONTINA PONTEIRA - UNIDADE,16.99,https://abcemcasa.vteximg.com.br/arquivos/ids/259318-1000-1000/7891114051964.jpg?v=637002313017400000
https://www.superabc.com.br/7891010921194-neutrogena-body-care-naturals-mang-200ml/p,7891010921194,Higiene e Beleza,Higiene Pessoal,Produtos para Pele,NEUTROGENA BODY CARE NATURALS MANG 200ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/263043-1000-1000/7891010921194.jpg?v=637002336593200000
